;index;cutoutname;objname;ra;dec;VIS;Y;H;J;grade;new;rawscore;notes
10;23;TILE102020061_-612388468493726389;EUCLJ040457.32-492221.50;61.23884687469332;-49.37263896690335;19.389412;19.129417;18.431496;18.850628;AA;N;32.022708892822266;Previously found in L25,W25
11;208;TILE102159778_2733418388668044661;EUCLJ181322.04+664816.08;273.3418388879678;66.8044661007292;21.36444;20.56945;19.735394;20.167862;AA;N;31.946632385253903;Previously found in L25,W25
12;98;TILE102023984_-627804838454213106;EUCLJ041107.32-452516.72;62.78048386794535;-45.4213106327194;21.587172;20.585775;19.79869;20.192265;AA;N;30.030363082885746;Previously found in L25,W25
13;93;TILE102023478_-628457640459296313;EUCLJ041122.98-455546.67;62.84576401449824;-45.92963139466405;21.248898;20.460737;19.612812;20.143867;AA;N;29.78443717956543;Previously found in L25,W25
14;52;TILE102021017_-634144568486868872;EUCLJ041339.47-484112.79;63.41445688480852;-48.686887295928926;21.70959;21.09203;20.412647;20.775597;AA;N;29.623218536376957;Previously found in L25,W25
15;53;TILE102021019_-651956451483599583;EUCLJ042046.95-482135.85;65.1956451002235;-48.35995837358245;21.091549;20.45444;19.673557;20.070171;AA;N;29.214990615844727;Previously found in L25,W25
16;124;TILE102044186_-535621262280129063;EUCLJ033414.91-280046.46;53.56212625889032;-28.01290638406208;18.947952;18.33942;17.683933;;AA;N;28.55494499206543;Previously found in L25,W25
17;146;TILE102157952_2658211530641487553;EUCLJ174317.08+640855.52;265.8211530815124;64.14875539666241;21.012924;20.51892;20.026718;20.226156;AA;N;27.921995162963867;Previously found in L25,W25
18;250;TILE102159187_2638458313658036354;EUCLJ173523.00+654813.09;263.8458313922525;65.80363546632773;23.115805;21.95049;21.005444;21.47914;A;Y;26.972116470336918;
19;181;TILE102158892_2704470582654415692;EUCLJ180147.29+652629.65;270.44705826038404;65.4415692078126;18.442871;18.493504;18.401693;18.062195;BA;N;26.89698982238769;Previously found in L25,W25
20;28;TILE102020066_-645419324493086283;EUCLJ041810.06-491831.06;64.54193243783828;-49.30862837005427;19.088505;19.200914;18.438381;18.82232;AA;N;24.699241638183597;Previously found in L25,W25
21;156;TILE102158272_2683555203642954376;EUCLJ175325.32+641743.58;268.3555203318142;64.29543764195286;20.174362;19.722992;18.935268;19.33028;AA;N;24.40872001647949;Previously found in L25,W25
22;223;TILE102160611_2740328687682808789;EUCLJ181607.89+681651.16;274.0328687229435;68.28087896462162;19.441208;19.393038;18.556616;18.980022;AA;N;24.32205009460449;Previously found in L25,W25
23;218;TILE102160338_2712384210679392079;EUCLJ180457.22+675621.15;271.2384210836177;67.93920791430314;19.236044;19.398827;18.604797;18.979132;AA;N;24.0930118560791;Previously found in L25,W25
24;109;TILE102042914_-520789072292464605;EUCLJ032818.94-291447.26;52.07890726223665;-29.24646051873857;19.973452;19.614344;18.777927;19.203241;BA;N;23.727426528930664;Previously found in L25,W25
25;267;TILE102020539_-638551665490540126;EUCLJ041525.24-490314.45;63.85516655001008;-49.05401269859208;23.775635;22.722786;21.811644;22.215721;B;Y;23.28024101257324;
26;187;TILE102159189_2667583358662193127;EUCLJ174702.00+661309.53;266.75833583062405;66.21931275566537;22.961182;22.314632;21.660923;21.842272;AA;N;23.26090812683105;Previously found in L25,W25
